feature,value 1,value 2
Mean phase velocity at peak - rhindlimb - ankle (rad/s),28.5±7.2,23.4±6.3°
Mean phase velocity at peak - rhindlimb - knee (rad/s),6.3±3.9,9.8±2.0°
Mean phase velocity at stance - rhindlimb - hip (rad/s),-1.1±14.9,-8.1±1.5°
Mean phase velocity at stance - rhindlimb - knee (rad/s),-1.5±10.8,-6.0±2.3°
Mean phase velocity at swing - rhindlimb - hip (rad/s),-1.6±2.1,-1.4±0.9°
Mean phase velocity at swing - rhindlimb - knee (rad/s),-0.9±1.7,-4.3±1.3°
Mean phase velocity at swing - rhindlimb - lHindpaw (rad/s),-15.3±5.0,-12.6±3.0°
Mean step acceleration X at peak - hip (m/s^2),-1.70±1.76,-0.62±1.10
Mean step acceleration X at peak - lHindfingers (m/s^2),7.93±9.23,-2.43±3.79
Mean step acceleration X at peak - lHindpaw (m/s^2),1.87±7.71,-2.22±2.50
Mean step acceleration X during stance - ankle (m/s^2),0.50±0.54,0.90±0.31
Mean step acceleration X during stance - knee (m/s^2),0.18 (median),0.34 (median)
Mean step acceleration X during stance - lHindfingers (m/s^2),-0.06±0.70,0.49±0.37
Mean step acceleration X during stance - lHindpaw (m/s^2),0.23±0.65,0.68±0.35
Mean step acceleration Y at peak - hip (m/s^2),-0.51±0.79,0.40±0.90
Mean step acceleration Y at stance - knee (m/s^2),-3.40 (median),-1.29 (median)
Mean step acceleration Y at swing - ankle (m/s^2),0.42±1.56,2.68±1.70
Mean step acceleration Y at swing - hip (m/s^2),-0.75±0.95,-1.50±0.94
Mean step acceleration Y at swing - lHindfingers (m/s^2),4.85±2.49,6.65±1.35
Mean step acceleration Y at swing - lHindpaw (m/s^2),3.42 (median),6.00 (median)
Mean step acceleration Y at touchdown - lHindfingers (m/s^2),4.35±2.25,6.45±1.57
Mean step acceleration Y during stance - ankle (m/s^2),0.60±0.28,0.84±0.21
Mean step acceleration Y during stance - hip (m/s^2),0.16 (median),-0.05 (median)
Mean step acceleration Y during swing - ankle (m/s^2),-0.86±0.34,-1.11±0.18
Mean step acceleration Y during swing - hip (m/s^2),-0.16±0.19,0.09±0.16
Mean step jerk X at swing - ankle (m/s^3),453.27±290.11,190.14±234.51
Mean step jerk X at swing - hip (m/s^3),141.20 (median),-36.42 (median)
Mean step jerk X at swing - knee (m/s^3),468.09±430.87,69.43±250.37
Mean step jerk Y at peak - ankle (m/s^3),-165.49±471.60,609.88±443.05
Mean step jerk Y at peak - knee (m/s^3),-66.74±234.30,87.24±143.01
Mean step jerk Y at peak - lHindfingers (m/s^3),-858.31±441.51,329.52±208.16
Mean step jerk Y at peak - lHindpaw (m/s^3),-521.30±327.08,152.63±282.31
Mean step jerk Y at stance - lHindfingers (m/s^3),164.95±357.77,-231.04±158.15
Mean step jerk Y at stance - lHindpaw (m/s^3),65.22 (median),-198.65 (median)
Mean step jerk Y at swing - ankle (m/s^3),-14.16±199.71,-324.90±236.26
Mean step jerk Y during stance - ankle (m/s^3),-32.28±27.81,-13.83±10.93
Mean step jerk Y during stance - lHindpaw (m/s^3),-32.47 (median),-12.73 (median)
Mean step jerk Y during swing - ankle (m/s^3),31.61±20.92,10.05±15.77
Mean step jerk Y during swing - hip (m/s^3),-18.44±16.22,-5.70±7.77
Mean step length (m),0.06±0.01,0.06±0.00
Mean step velocity X at peak - hip (m/s),0.26±0.06,0.23±0.02
Mean step velocity X at stance - ankle (m/s),0.10 (median),0.05 (median)
Mean step velocity X at stance - knee (m/s),0.17 (median),0.13 (median)
Mean step velocity X at stance - lHindpaw (m/s),0.07 (median),0.03 (median)
Mean step velocity X during stance - ankle (m/s),0.11 (median),0.08 (median)
Mean step velocity X during stance - hip (m/s),0.23±0.05,0.20±0.02
Mean step velocity X during stance - knee (m/s),0.15±0.04,0.12±0.01
Mean step velocity X during stance - lHindfingers (m/s),0.03±0.01,0.01±0.00
Mean step velocity X during stance - lHindpaw (m/s),0.05±0.02,0.03±0.01
Mean step velocity X during swing - ankle (m/s),0.40±0.06,0.37±0.03
Mean step velocity X during swing - lHindfingers (m/s),0.51±0.08,0.46±0.03
Mean step velocity X during swing - lHindpaw (m/s),0.49±0.07,0.44±0.03
Mean step velocity Y at peak - ankle (m/s),-0.05±0.04,-0.11±0.03
Mean step velocity Y at peak - lHindfingers (m/s),0.07±0.03,-0.00±0.01
Mean step velocity Y at peak - lHindpaw (m/s),0.04±0.02,-0.02±0.02
Mean step velocity Y at stance - lHindfingers (m/s),-0.08±0.03,-0.06±0.02
Mean step velocity Y at swing - ankle (m/s),0.05 (median),0.10 (median)
Mean step velocity Y at swing - hip (m/s),0.01±0.01,-0.01±0.01
Mean step velocity Y at swing - lHindpaw (m/s),0.06±0.02,0.09±0.01
